full_date,date,weekday,time,mood,activities,note
7/20/2020,20-Jul,Monday,12:01 p.m.,good,brushing teeth | drink water  | skin care | shower  | breakfast ,
7/20/2020,20-Jul,Monday,9:39 a.m.,meh,washroom  | drink water  | woke up ,
7/19/2020,19-Jul,Sunday,10:02 p.m.,good,family time  | movies & tv | sleep |programming| dinner ,
7/18/2020,18-Jul,Saturday,10:03 p.m.,rad,friends | family time  | vacation,
7/17/2020,17-Jul,Friday,8:26 a.m.,tired,good sleep | brushing teeth | drink water  | programming | skin care | shower  | breakfast  | sunny | woke up early,
7/16/2020,16-Jul,Thursday,9:02 p.m.,meh,dinner  | work,
7/16/2020,16-Jul,Thursday,1:00 p.m.,good,friends | programming | gaming | brushing teeth | washroom  | drink water  | cleaning | lunch ,
7/16/2020,16-Jul,Thursday,3:21 a.m.,tired,friends | gaming | sleep | fap,
7/15/2020,15-Jul,Wednesday,11:43 a.m.,tired,laundry | focus | take a break,
7/15/2020,15-Jul,Wednesday,9:43 a.m.,tired,medium sleep | brushing teeth | washroom  | drink water  |programming| skin care | shower  | breakfast  | shopping | sunny | woke up ,
7/14/2020,14-Jul,Tuesday,10:07 p.m.,tired,family time  | movies & tv | brushing teeth | washroom  | drink water  | skin care | shower  | dinner ,
7/14/2020,14-Jul,Tuesday,3:15 p.m.,meh,friends | shopping,
7/14/2020,14-Jul,Tuesday,9:18 a.m.,good,brushing teeth | washroom  | drink water  | programming | shower  | breakfast ,
7/14/2020,14-Jul,Tuesday,8:08 a.m.,tired,good sleep | woke up ,
7/13/2020,13-Jul,Monday,9:03 p.m.,tired,friends | sport | family time  | movies & tv | dinner  | shopping,
7/12/2020,12-Jul,Sunday,10:55 p.m.,excited ,family time  | movies & tv | brushing teeth | washroom ,
7/12/2020,12-Jul,Sunday,3:34 p.m.,good,family time  | walk | fap,
7/12/2020,12-Jul,Sunday,11:45 a.m.,tired,movies & tv | gaming | shower  | lunch ,
7/12/2020,12-Jul,Sunday,8:28 a.m.,meh,gaming | good sleep | breakfast  | sunny | woke up early,
7/11/2020,11-Jul,Saturday,10:48 p.m.,tired,family time  | movies & tv | sleep | brushing teeth | washroom  | drink water  | fap,
7/11/2020,11-Jul,Saturday,2:37 p.m.,meh,washroom  | snack ,
7/10/2020,10-Jul,Friday,8:20 a.m.,bad,washroom  | drink water  | breakfast  | woke up early,
7/10/2020,10-Jul,Friday,2:11 a.m.,meh,washroom  | drink water ,
7/9/2020,9-Jul,Thursday,11:20 a.m.,tired,washroom  | drink water  |programming| skin care | shower  | woke up ,
7/8/2020,8-Jul,Wednesday,7:00 p.m.,good,programming | drink water  | focus | work,
7/8/2020,8-Jul,Wednesday,11:53 a.m.,good,programming | focus | take a break | snack  | sunny | heat,
7/8/2020,8-Jul,Wednesday,10:23 a.m.,good,relax | washroom  | drink water  | focus | snack ,
7/8/2020,8-Jul,Wednesday,7:00 a.m.,tired,brushing teeth | washroom  | drink water  | breakfast  | shopping | woke up early,
7/7/2020,7-Jul,Tuesday,6:57 p.m.,bad,friends | programming | gaming | brushing teeth | washroom  |programming| snack ,
7/7/2020,7-Jul,Tuesday,12:00 p.m.,tired,programming | walk | washroom  | drink water  | make list | focus | take a break | lunch ,
7/7/2020,7-Jul,Tuesday,9:41 a.m.,tired,good sleep | washroom  | drink water  | skin care | breakfast  | woke up ,
7/7/2020,7-Jul,Tuesday,3:37 a.m.,Regret ,friends | relax | gaming | sleep | programming | snack ,
7/6/2020,6-Jul,Monday,11:49 a.m.,good,good sleep | brushing teeth | washroom  | drink water  | programming | skin care | shower  | breakfast  | sunny | woke up ,
7/6/2020,6-Jul,Monday,8:00 a.m.,meh,friends | washroom  | drink water  | lunch ,
7/5/2020,5-Jul,Sunday,10:00 p.m.,tired,family time  | movies & tv | sleep | brushing teeth | washroom  | drink water  | programming,
7/5/2020,5-Jul,Sunday,3:31 p.m.,bad,friends | gaming | brushing teeth | shower  | lunch ,
7/4/2020,4-Jul,Saturday,3:31 p.m.,rad,friends | relax |programming| travel | sunny | heat,
7/3/2020,3-Jul,Friday,6:06 p.m.,good,friends | brushing teeth | washroom  | drink water  |programming| shower  | lunch ,
7/3/2020,3-Jul,Friday,12:02 p.m.,meh,friends | gaming | good sleep | washroom  | drink water  |programming| skin care | shower  | sunny | woke up ,
7/2/2020,2-Jul,Thursday,8:28 p.m.,tired,snack  | work,
7/2/2020,2-Jul,Thursday,12:48 p.m.,good,relax | browsing the internet | drink water  | lunch ,
7/2/2020,2-Jul,Thursday,11:16 a.m.,good,relax | browsing the internet | brushing teeth | washroom  | drink water  | cleaning | skin care | shower ,
7/2/2020,2-Jul,Thursday,10:03 a.m.,tired,programming | breakfast  | sunny | woke up ,
7/1/2020,1-Jul,Wednesday,11:17 a.m.,tired,family time  | good sleep | nap | brushing teeth | washroom  | exercise | drink water  | programming | shower  | snack  | dinner  | breakfast  | visit | sunny | woke up ,
6/30/2020,30-Jun,Tuesday,5:05 p.m.,tired,friends | family time  | brushing teeth | washroom  | drink water  | cleaning | shower  | lunch  | travel | shopping | sunny,
6/30/2020,30-Jun,Tuesday,8:41 a.m.,meh,washroom  | drink water  | shower  | shopping | woke up early,
6/30/2020,30-Jun,Tuesday,2:36 a.m.,tired,friends | gaming | sleep | brushing teeth | washroom  | drink water  |programming| dinner ,
6/29/2020,29-Jun,Monday,9:00 p.m.,good,snack  | work,
6/29/2020,29-Jun,Monday,3:20 p.m.,meh,programming | washroom  | drink water  | snack ,
6/29/2020,29-Jun,Monday,12:15 p.m.,excited ,programming | brushing teeth | washroom  | drink water  | focus | lunch ,
6/29/2020,29-Jun,Monday,8:30 a.m.,tired,relax | shower  | breakfast  | sunny | woke up early,
6/28/2020,28-Jun,Sunday,9:15 p.m.,good,friends | relax | gaming | brushing teeth | washroom  | fap,
6/27/2020,27-Jun,Saturday,2:31 p.m.,tired,family time  | washroom  | drink water  | lunch ,
6/27/2020,27-Jun,Saturday,10:11 a.m.,meh,relax | browsing the internet | good sleep | programming | shower  | breakfast  | woke up ,
6/26/2020,26-Jun,Friday,3:45 p.m.,good,programming | reading | brushing teeth | washroom  | drink water  | studying | snack ,
6/26/2020,26-Jun,Friday,12:53 p.m.,meh,brushing teeth | washroom  | exercise | drink water  | lunch ,
6/26/2020,26-Jun,Friday,9:50 a.m.,meh,skin care | shower  | breakfast  | woke up ,
6/25/2020,25-Jun,Thursday,10:36 p.m.,tired,relax | reading | sleep | programming,
6/25/2020,25-Jun,Thursday,9:31 p.m.,tired,family time  | movies & tv | brushing teeth | washroom  | drink water  | skin care | dinner ,
6/25/2020,25-Jun,Thursday,5:07 p.m.,good,friends | gaming | drink water  | workout | snack ,
6/25/2020,25-Jun,Thursday,9:56 a.m.,meh,brushing teeth | washroom  | drink water  | shower  | breakfast  | woke up ,
6/25/2020,25-Jun,Thursday,1:15 a.m.,sad,friends | gaming | fap,
6/24/2020,24-Jun,Wednesday,5:35 p.m.,good,washroom  | work,
6/24/2020,24-Jun,Wednesday,10:26 a.m.,sad,nap | washroom  | shower  | breakfast ,
6/24/2020,24-Jun,Wednesday,7:21 a.m.,tired,washroom  | exercise | drink water  | woke up early,
6/23/2020,23-Jun,Tuesday,11:27 p.m.,tired,sleep | make list,
6/23/2020,23-Jun,Tuesday,9:58 p.m.,tired,browsing the internet | drink water  | fap,
6/23/2020,23-Jun,Tuesday,9:29 p.m.,meh,snack  | dinner  | work | rain,
6/23/2020,23-Jun,Tuesday,3:24 p.m.,bad,friends | programming | gaming | brushing teeth | washroom  | lunch  | rain,
6/23/2020,23-Jun,Tuesday,9:02 a.m.,meh,walk | brushing teeth | washroom  | drink water  | programming | focus | breakfast  | sunny | woke up early,
6/22/2020,22-Jun,Monday,9:02 p.m.,good,work,
6/22/2020,22-Jun,Monday,3:24 p.m.,tired,friends | programming | gaming | brushing teeth | washroom  | drink water  | focus | studying,
6/22/2020,22-Jun,Monday,12:45 p.m.,bad,walk | focus | take a break | lunch ,
6/22/2020,22-Jun,Monday,11:14 a.m.,meh,brushing teeth | take a break | shower ,
6/22/2020,22-Jun,Monday,9:57 a.m.,meh,browsing the internet | make list | studying,
6/22/2020,22-Jun,Monday,9:22 a.m.,tired,bad sleep | drink water  | programming | breakfast  | woke up ,
6/21/2020,21-Jun,Sunday,10:10 p.m.,tired,sleep,
6/21/2020,21-Jun,Sunday,9:15 p.m.,tired,family time  | relax | dinner  | sunny,
6/21/2020,21-Jun,Sunday,5:09 p.m.,meh,friends | haircut | snack ,
6/20/2020,20-Jun,Saturday,9:00 p.m.,tired,friends | sleep | fap,
6/20/2020,20-Jun,Saturday,1:04 p.m.,meh,friends | drink water  | travel | sunny,
6/20/2020,20-Jun,Saturday,12:29 p.m.,meh,brushing teeth | washroom  | drink water ,
6/20/2020,20-Jun,Saturday,9:49 a.m.,tired,good sleep | drink water  | woke up ,
6/20/2020,20-Jun,Saturday,1:15 a.m.,tired,sleep | fap,
6/19/2020,19-Jun,Friday,6:34 p.m.,meh,drink water  | work,
6/19/2020,19-Jun,Friday,3:31 p.m.,tired,friends | brushing teeth | drink water  | lunch  | shopping | sunny | clouds | rain,
6/18/2020,18-Jun,Thursday,3:32 p.m.,nervous ,fap | school work | work,
6/17/2020,17-Jun,Wednesday,9:06 p.m.,tired,family time  | relax | reading | shower  | dinner ,
6/17/2020,17-Jun,Wednesday,2:10 p.m.,tired,brushing teeth | drink water  | snack  | work,
6/17/2020,17-Jun,Wednesday,11:34 a.m.,good,drink water  | lunch  | work,
6/17/2020,17-Jun,Wednesday,9:12 a.m.,good,bad sleep | brushing teeth | washroom  | drink water  | shower  | snack  | breakfast  | work | sunny | woke up early,
6/16/2020,16-Jun,Tuesday,10:10 p.m.,tired,friends | sleep | brushing teeth | washroom  |programming| dinner ,
6/16/2020,16-Jun,Tuesday,10:15 a.m.,good,programming | breakfast  | woke up ,
6/15/2020,15-Jun,Monday,2:08 p.m.,tired,snack  | work,
6/15/2020,15-Jun,Monday,11:16 a.m.,meh,washroom  | lunch  | work,
6/15/2020,15-Jun,Monday,9:04 a.m.,tired,good sleep | brushing teeth | washroom  | drink water  | shower  | snack  | work | sunny | woke up early,
6/14/2020,14-Jun,Sunday,10:04 p.m.,tired,friends | gaming | brushing teeth | washroom  | drink water  |programming| school work | shower ,
6/14/2020,14-Jun,Sunday,2:12 p.m.,rad,family time  | home | travel | sunny,
6/14/2020,14-Jun,Sunday,10:00 a.m.,good,family time  | medium sleep | programming | breakfast  | woke up ,
6/13/2020,13-Jun,Saturday,1:25 p.m.,meh,lunch  | travel | sunny,
6/13/2020,13-Jun,Saturday,10:17 a.m.,tired,snack  | work,
6/13/2020,13-Jun,Saturday,8:11 a.m.,tired,brushing teeth | washroom  | programming | shower  | breakfast  | work | woke up early,
6/12/2020,12-Jun,Friday,7:14 p.m.,tired,friends | relax | gaming | school work | snack ,
6/12/2020,12-Jun,Friday,2:38 p.m.,angry ,snack  | work,
6/12/2020,12-Jun,Friday,11:28 a.m.,meh,lunch  | work,
6/12/2020,12-Jun,Friday,9:17 a.m.,meh,programming | shower  | snack  | breakfast  | work | woke up early,
6/11/2020,11-Jun,Thursday,10:35 p.m.,good,friends | reading | brushing teeth | shower ,
6/11/2020,11-Jun,Thursday,9:09 p.m.,tired,friends | chess | programming | gaming | dinner ,
6/11/2020,11-Jun,Thursday,3:34 p.m.,rad,friends | chess | programming | reading,
6/11/2020,11-Jun,Thursday,12:34 p.m.,good,family time  | movies & tv | lunch ,
6/11/2020,11-Jun,Thursday,10:22 a.m.,good,chess | brushing teeth | drink water  | shower  | breakfast ,
6/11/2020,11-Jun,Thursday,8:05 a.m.,tired,washroom  | drink water  | programming | lecture | woke up early,
6/10/2020,10-Jun,Wednesday,6:52 p.m.,meh,drink water  | snack  | work | rain,
6/10/2020,10-Jun,Wednesday,12:22 a.m.,meh,reading | meditation | drink water  | programming | make list,
6/9/2020,9-Jun,Tuesday,6:28 p.m.,tired,chess | gaming | walk | lunch  | sunny,
6/9/2020,9-Jun,Tuesday,12:35 p.m.,good,friends | chess | programming | lecture,
6/9/2020,9-Jun,Tuesday,10:47 a.m.,bad,brushing teeth | washroom  | drink water  | programming | breakfast  | woke up ,
6/8/2020,8-Jun,Monday,4:26 p.m.,meh,friends | chess | gaming | lecture | lunch ,
6/8/2020,8-Jun,Monday,11:51 a.m.,tired,reading | washroom  | shopping | sunny,
6/8/2020,8-Jun,Monday,10:10 a.m.,good,chess | cleaning | focus | take a break | lecture,
6/8/2020,8-Jun,Monday,9:13 a.m.,good,medium sleep | shower  | breakfast  | woke up ,
6/8/2020,8-Jun,Monday,1:33 a.m.,sad,sleep | meditation | fap,
6/8/2020,8-Jun,Monday,12:10 a.m.,meh,friends | chess | gaming | brushing teeth | washroom  | snack  | dinner ,
6/7/2020,7-Jun,Sunday,11:48 a.m.,tired,focus | take a break | school work | shower  | lunch ,
6/7/2020,7-Jun,Sunday,9:18 a.m.,tired,gaming | brushing teeth | washroom  | woke up ,
6/7/2020,7-Jun,Sunday,2:04 a.m.,tired,friends | chess | gaming | sleep | brushing teeth | drink water  |programming| dinner ,
6/6/2020,6-Jun,Saturday,6:41 p.m.,tired,drink water  | snack  | work,
6/6/2020,6-Jun,Saturday,2:56 p.m.,sad,walk | washroom  | drink water  | focus | take a break | school work,
6/6/2020,6-Jun,Saturday,1:54 p.m.,meh,focus | take a break | school work | lunch ,
6/6/2020,6-Jun,Saturday,1:23 p.m.,meh,friends | chess | gaming | washroom  | focus | take a break | school work,
6/6/2020,6-Jun,Saturday,11:36 a.m.,meh,brushing teeth,
6/6/2020,6-Jun,Saturday,10:57 a.m.,meh,fap | shower ,
6/6/2020,6-Jun,Saturday,10:46 a.m.,sad,bad sleep | breakfast  | woke up ,
6/5/2020,5-Jun,Friday,10:57 p.m.,tired,reading | sleep | meditation | programming,
6/5/2020,5-Jun,Friday,9:02 p.m.,tired,family time  | movies & tv | chess | washroom  | shower  | dinner ,
6/5/2020,5-Jun,Friday,1:30 p.m.,good,friends | gaming | lunch ,
6/5/2020,5-Jun,Friday,11:34 a.m.,good,chess | washroom ,
6/5/2020,5-Jun,Friday,11:12 a.m.,good,focus | take a break | school work | shower ,
6/5/2020,5-Jun,Friday,9:43 a.m.,tired,medium sleep | washroom  | drink water  | breakfast  | woke up ,
6/5/2020,5-Jun,Friday,1:09 a.m.,meh,relax | browsing the internet | sleep | fap,
6/4/2020,4-Jun,Thursday,11:39 p.m.,tired,friends | gaming | brushing teeth | washroom  | drink water  | school work,
6/4/2020,4-Jun,Thursday,6:06 p.m.,good,focus | take a break | school work,
6/4/2020,4-Jun,Thursday,6:05 p.m.,meh,family time  | relax | browsing the internet | walk | washroom  | drink water ,
6/4/2020,4-Jun,Thursday,2:02 p.m.,good,drink water  | focus | take a break | school work | lunch ,
6/4/2020,4-Jun,Thursday,12:32 p.m.,good,focus | take a break | school work,
6/4/2020,4-Jun,Thursday,11:39 a.m.,tired,focus | take a break | school work,
6/4/2020,4-Jun,Thursday,11:00 a.m.,meh,focus | take a break | school work,
6/4/2020,4-Jun,Thursday,9:10 a.m.,meh,bad sleep | washroom  | exercise | drink water  | woke up ,
6/4/2020,4-Jun,Thursday,1:41 a.m.,sad,sleep | meditation | programming,
6/4/2020,4-Jun,Thursday,1:04 a.m.,Regret ,friends | gaming | drink water ,
6/3/2020,3-Jun,Wednesday,7:51 p.m.,sad,friends | family time  | movies & tv | gaming | dinner ,
6/3/2020,3-Jun,Wednesday,1:47 p.m.,good,friends | gaming | brushing teeth | washroom  | shower  | lunch ,
6/3/2020,3-Jun,Wednesday,9:57 a.m.,meh,medium sleep | washroom  | drink water  | woke up ,
6/2/2020,2-Jun,Tuesday,11:09 p.m.,tired,reading | sleep | brushing teeth | washroom  | fap,
6/2/2020,2-Jun,Tuesday,8:36 p.m.,meh,family time  | movies & tv | chess,
6/2/2020,2-Jun,Tuesday,5:33 p.m.,tired,friends | gaming | school work,
6/2/2020,2-Jun,Tuesday,11:50 a.m.,meh,chess | brushing teeth | focus | take a break | school work | studying,
6/2/2020,2-Jun,Tuesday,7:48 a.m.,meh,chess | good sleep | drink water  | programming | breakfast  | woke up early,
6/1/2020,1-Jun,Monday,10:53 p.m.,tired,sleep,
6/1/2020,1-Jun,Monday,9:52 p.m.,tired,friends | gaming | brushing teeth | school work | dinner ,
6/1/2020,1-Jun,Monday,5:33 p.m.,tired,chess,
6/1/2020,1-Jun,Monday,3:20 p.m.,tired,friends | gaming | exercise | lecture | lunch ,
6/1/2020,1-Jun,Monday,10:22 a.m.,tired,programming | medium sleep | breakfast  | woke up ,
6/1/2020,1-Jun,Monday,12:21 a.m.,Regret ,friends | reading | gaming | sleep | brushing teeth | washroom ,
5/31/2020,31-May,Sunday,8:51 p.m.,tired,friends | family time  | movies & tv | walk | dinner ,
5/31/2020,31-May,Sunday,4:22 a.m.,rad,friends | browsing the internet | movies & tv | chess | gaming | sleep | brushing teeth | washroom  | snack ,
5/30/2020,30-May,Saturday,6:28 p.m.,good,drink water  | snack  | work | sunny,
5/30/2020,30-May,Saturday,2:26 p.m.,meh,movies & tv | lunch ,
5/30/2020,30-May,Saturday,12:00 p.m.,good,chess | brushing teeth | washroom  | lecture,
5/30/2020,30-May,Saturday,10:20 a.m.,meh,browsing the internet | medium sleep | washroom  | breakfast  | woke up ,
5/30/2020,30-May,Saturday,1:12 a.m.,bad,friends | reading | gaming | sleep | brushing teeth | washroom  | programming,
5/29/2020,29-May,Friday,2:00 p.m.,meh,brushing teeth | washroom  | exercise | school work,
5/29/2020,29-May,Friday,11:55 a.m.,hungry ,chess | programming | reading | gaming | studying | lecture,
5/29/2020,29-May,Friday,9:47 a.m.,bad,chess | brushing teeth | washroom  | exercise | lecture | snack ,
5/29/2020,29-May,Friday,7:51 a.m.,tired,reading | medium sleep | washroom  | breakfast  | woke up early,
5/28/2020,28-May,Thursday,11:21 p.m.,tired,chess | sleep |programming| school work,
5/28/2020,28-May,Thursday,7:55 p.m.,tired,friends | family time  | movies & tv | gaming | school work | dinner  | rain,
5/28/2020,28-May,Thursday,2:16 p.m.,good,family time  | cleaning | lunch ,
5/28/2020,28-May,Thursday,10:07 a.m.,tired,washroom  | woke up ,
5/27/2020,27-May,Wednesday,11:30 p.m.,tired,programming | fap,
5/27/2020,27-May,Wednesday,10:44 p.m.,meh,family time  | movies & tv | chess | brushing teeth | washroom  | studying | lecture | shower  | dinner ,
5/27/2020,27-May,Wednesday,5:09 p.m.,meh,friends | family time  | gaming | brushing teeth | washroom  | shopping,
5/27/2020,27-May,Wednesday,8:10 a.m.,meh,friends | breakfast  | travel | woke up ,
5/27/2020,27-May,Wednesday,12:06 a.m.,meh,friends | reading | gaming | sleep | brushing teeth,
5/26/2020,26-May,Tuesday,8:37 p.m.,tired,family time  | movies & tv | washroom  |programming| dinner ,
5/26/2020,26-May,Tuesday,6:25 p.m.,tired,friends | gaming | washroom  | focus | take a break | school work,
5/26/2020,26-May,Tuesday,2:22 p.m.,tired,family time  | travel | shopping,
5/26/2020,26-May,Tuesday,12:41 p.m.,meh,friends | gaming | lunch  | woke up ,
5/25/2020,25-May,Monday,11:09 p.m.,meh,friends | movies & tv | gaming | brushing teeth | drink water  |programming| snack  | dinner ,
5/25/2020,25-May,Monday,5:47 p.m.,meh,friends | walk | washroom  | drink water  | shower  | sunny,
5/25/2020,25-May,Monday,11:43 a.m.,hungry ,drink water  | shower ,
5/25/2020,25-May,Monday,10:12 a.m.,meh,drink water  | cleaning,
5/25/2020,25-May,Monday,8:49 a.m.,good,movies & tv | brushing teeth | breakfast ,
5/25/2020,25-May,Monday,7:17 a.m.,tired,drink water  | woke up ,
5/24/2020,24-May,Sunday,8:52 p.m.,tired,friends | movies & tv | gaming | sleep | brushing teeth | washroom  | drink water  |programming| dinner ,
5/24/2020,24-May,Sunday,3:42 p.m.,good,family time  | movies & tv | brushing teeth | washroom  | drink water  | lunch ,
5/24/2020,24-May,Sunday,11:29 a.m.,bad,breakfast  | sunny | woke up ,
5/23/2020,23-May,Saturday,8:38 p.m.,tired,family time  | movies & tv | gaming | washroom  | focus | take a break | studying,
5/23/2020,23-May,Saturday,6:07 p.m.,good,family time  | walk | washroom  | drink water  |programming| sunny,
5/22/2020,22-May,Friday,9:06 p.m.,good,friends | party | dinner  | visit | travel | rain,Went to Jordan's for lunch
5/22/2020,22-May,Friday,12:37 p.m.,tired,lunch ,
5/22/2020,22-May,Friday,9:32 a.m.,tired,movies & tv | bad sleep | brushing teeth | washroom  | breakfast  | woke up ,
5/21/2020,21-May,Thursday,6:56 p.m.,meh,family time  | studying | dinner ,
5/21/2020,21-May,Thursday,5:12 p.m.,meh,walk | brushing teeth | washroom  | drink water ,
5/21/2020,21-May,Thursday,2:18 p.m.,nervous ,browsing the internet | washroom  | drink water  | studying | lunch ,
5/21/2020,21-May,Thursday,12:41 p.m.,meh,brushing teeth | washroom  | focus | take a break | studying,
5/21/2020,21-May,Thursday,11:11 a.m.,tired,bad sleep | washroom  | drink water  | woke up ,
5/21/2020,21-May,Thursday,3:11 a.m.,Regret ,friends | gaming | sleep | fap,
5/20/2020,20-May,Wednesday,5:47 p.m.,tired,browsing the internet,
5/20/2020,20-May,Wednesday,3:47 p.m.,nervous ,washroom  | focus | take a break | lecture | shower ,
5/20/2020,20-May,Wednesday,2:18 p.m.,bad,make list | focus | take a break | school work | studying,
5/20/2020,20-May,Wednesday,2:18 p.m.,meh,family time  | relax | browsing the internet | washroom  | lunch  | woke up ,
5/20/2020,20-May,Wednesday,12:02 a.m.,tired,brushing teeth | studying | shower ,
5/19/2020,19-May,Tuesday,11:56 p.m.,tired,friends | family time  | gaming | washroom  | programming | dinner ,
5/19/2020,19-May,Tuesday,5:40 p.m.,tired,programming | studying,
5/19/2020,19-May,Tuesday,4:50 p.m.,meh,lecture | snack ,
5/19/2020,19-May,Tuesday,4:35 p.m.,meh,focus | take a break | school work | studying,
5/19/2020,19-May,Tuesday,2:18 p.m.,tired,programming | focus | take a break,
5/19/2020,19-May,Tuesday,1:50 p.m.,meh,chess | washroom ,
5/19/2020,19-May,Tuesday,1:20 p.m.,meh,brushing teeth | washroom  | lunch ,
5/19/2020,19-May,Tuesday,12:55 p.m.,meh,medium sleep | brushing teeth | washroom  | focus | take a break | studying | breakfast  | clouds | woke up ,
5/19/2020,19-May,Tuesday,4:51 a.m.,Regret ,friends | gaming | sleep | fap,
5/18/2020,18-May,Monday,11:42 p.m.,tired,friends | gaming | programming | school work | studying,
5/18/2020,18-May,Monday,5:29 p.m.,tired,friends | gaming,
5/18/2020,18-May,Monday,2:00 p.m.,meh,friends | gaming | washroom  | school work | studying,
5/18/2020,18-May,Monday,12:01 p.m.,good,gaming | washroom  | make list | studying,
5/18/2020,18-May,Monday,10:38 a.m.,good,gaming | washroom  | shower  | breakfast ,
5/18/2020,18-May,Monday,8:19 a.m.,good,good sleep | washroom  | rain | woke up early,
5/17/2020,17-May,Sunday,10:20 p.m.,tired,reading | sleep early | fap,
5/17/2020,17-May,Sunday,8:39 p.m.,meh,family time  | movies & tv | brushing teeth | washroom  | dinner ,
5/17/2020,17-May,Sunday,6:57 p.m.,sad,chess | focus | take a break | snack ,
5/17/2020,17-May,Sunday,5:44 p.m.,good,washroom  | focus | take a break,
5/17/2020,17-May,Sunday,2:15 p.m.,good,movies & tv | walk | washroom  | lunch ,
5/17/2020,17-May,Sunday,1:50 p.m.,bad,brushing teeth | school work | studying,
